x,y,z
5011.649,2492.294,5.389
5018.83,2793.808,6.041
5028.364,2590.801,5.602
5035.538,2890.035,6.249
5045.676,2407.89,5.207
5052.357,1897.451,4.103
5059.708,2156.941,4.664
5077.271,2211.652,4.782
5095.275,2017.065,4.361
5502.545,3422.224,7.4
5609.079,2492.997,5.391
5628.216,2057.059,4.448
6284.565,4217.993,9.12
6706.554,45326.05,98.007
6727.651,24730.532,53.474
6776.368,7995.433,17.288
6817.967,4579.588,9.902
6833.147,5285.845,11.429
6859.658,5668.019,12.256
6930.767,24483.45,52.94
7024.86,2240.493,4.845
7045.563,2203.384,4.764
7920.207,46247.551,100.0
7945.699,23986.138,51.865
8013.804,7775.207,16.812
8038.667,4929.512,10.659
8046.259,4838.951,10.463
8054.491,4633.535,10.019
8082.839,6353.274,13.738
8117.283,9247.26,19.995
8167.022,26268.85,56.801
8269.052,1899.738,4.108
9100.788,2629.709,5.686
9438.276,2429.932,5.254
11191.188,6366.041,13.765
11210.877,2247.243,4.859
11235.631,2218.3,4.797
13381.673,42656.862,92.236
13424.402,21938.647,47.437
13523.363,6339.454,13.708
13583.99,3791.608,8.199
13590.325,3760.49,8.131
13633.11,5613.355,12.138
13685.417,3603.082,7.791
