x,y,z
5006.943,4823.061,8.833
5035.903,4499.565,8.24
5048.068,4146.846,7.594
5059.739,4011.913,7.347
5088.899,3927.395,7.192
5096.354,3888.661,7.122
5103.334,3914.887,7.17
5106.186,3867.381,7.083
5132.023,3389.893,6.208
5145.996,3528.586,6.462
5159.607,3214.832,5.888
5176.829,2760.815,5.056
5197.891,2938.009,5.381
5206.47,3109.273,5.694
5228.485,2379.8,4.358
5240.623,2285.48,4.186
6667.828,3452.191,6.322
6706.727,24756.37,45.338
6727.351,20449.71,37.451
6766.783,6817.649,12.486
6774.473,6278.484,11.498
6796.275,5433.975,9.952
6836.601,5986.388,10.963
6844.821,6445.802,11.805
6930.758,44117.423,80.795
7025.898,2685.343,4.918
7080.132,2271.021,4.159
7842.431,2301.748,4.215
7920.64,41993.201,76.905
7946.933,17559.812,32.158
8014.915,9786.636,17.923
8067.698,5603.848,10.263
8083.497,7027.771,12.87
8115.362,11987.116,21.953
8167.038,19107.894,34.993
13382.57,54604.24,100.0
13425.359,42096.968,77.095
13541.091,9239.223,16.92
13582.823,6831.004,12.51
13620.511,7419.039,13.587
13632.969,7519.729,13.771
13684.751,4505.172,8.251
