,0,1,2,3,4,5,6
0,Clasificador : LR,precision : 100.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 100.0,Valor predictivo Negativo : 100.0,MCC :100.0
1,Clasificador : LDA,precision : 100.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 100.0,Valor predictivo Negativo : 100.0,MCC :100.0
2,Clasificador : KNN,precision : 100.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 100.0,Valor predictivo Negativo : 100.0,MCC :100.0
3,Clasificador : CART,precision : 95.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 90.9090909091,Valor predictivo Negativo : 100.0,MCC :90.4534033733
4,Clasificador : NB,precision : 95.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 90.9090909091,Valor predictivo Negativo : 100.0,MCC :90.4534033733
5,Clasificador : SVM,precision : 95.0,sensibilidad : 100.0,especificidad : 100.0,valor Predictivo Positivo : 90.9090909091,Valor predictivo Negativo : 100.0,MCC :90.4534033733
