5.045.583,6.647.485,6.724.097,7.685.446,8.467.434,9.427.083,9.671.001,10.745.163,13.780.726,13.804.314,13.950.183,15474.47,15.598.549,16.722.359,17301.42,17.328.427,clase
2.31,0,0,15.15,0,0.14,0,0,0.04,0,0.15,0,0,0,0,0,1
2.52,0,0,12.82,0.42,0.17,0,0,0,0,0,0,0,0.03,0,0,1
0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,1
3.22,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0.04,1
3.85,0,0,16.04,0,0,0,0,0,0,0.09,0.04,0.04,0,0,0,1
3.9,0,0,6.66,0,0.34,0,0,0,0,0,0,0.04,0,0.04,0,1
0,0,0,23.99,0,0,0,0,0,0.05,0.16,0,0,0,0,0,1
3.25,0,0,5.48,0,0.27,0,0,0,0,0.11,0,0,0.03,0,0,1
3.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.97,0,0,3.83,0,0.34,0,0,0,0,0,0,0,0,0,0.04,1
0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.05,0,0,1
2.92,0,0,3.73,0,0.4,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,1
3.66,0,0,7.26,0,0.45,0,0,0,0,0,0,0,0,0,0,1
0,0,0,21.21,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,47.31,0,0,0,0,0,0,0.22,0,0,0.03,0,0.04,1
0,0,0,7.74,0,0.26,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1.98,0,0,0,0,0,0,0.05,0,0,0,0,0,0
0,0.86,10.54,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
4.64,0,11.92,1.05,0,0.2,0,0,0,0,0,0,0,0.05,0,0,0
0,0,0,19.36,0,0,0.14,0,0,0,0,0,0,0,0,0,0
0,0,0,5.75,0.46,0,0.26,0,0,0,0,0,0,0,0,0.03,0
0,0,0,5.64,0,0,0,0,0,0,0.08,0.04,0,0.04,0,0,0
