5.156.402,5.168.531,5.344.633,5.498.238,5.749.963,6.060.145,6.278.747,6.295.576,6.299.565,6.741.227,7.086.979,7.297.529,8.114.116,8165.25,9.182.316,9.224.067,9.427.083,9.560.505,9.565.208,9.591.046,10.075.703,10.197.547,10.283.771,11.738.804,13.804.314,clase
0,0,0,4.26,2.02,1.19,20.63,10.31,10.31,17.6,0,0,4.94,9.42,0,0,0.14,0.72,0.72,0,0,0.25,0,0,0,1
0.38,0,0,6.33,4.83,2.05,38.49,16.59,16.59,10.53,3.14,0,12.36,29.78,0,0.53,0.17,1.12,1.12,0.2,0.61,0,0,0,0,1
0.55,0,0,5.93,10.14,2.08,33.08,14.41,14.41,12.22,0,0,14.15,32.75,0,0,0,1.46,1.46,0.33,0,0,0,0,0,1
0,0,0,6.54,3.24,4.53,28.75,12.59,0,15.63,3.63,0,10.43,23.66,0,0,0,1.59,1.59,0.43,0.95,0,0,0,0,1
0,0,0,7.6,11.3,3.18,34.01,15.35,15.35,16.25,0,0,8.77,18.42,0,0,0,2.01,2.01,0,0,0.24,0,0,0,1
0,0,0,13.42,14.76,1.51,58.27,25.97,25.97,17.65,0,0,21.1,28.18,0,0,0.34,2.61,2.61,0,0,0.16,0,0.21,0,1
0,0,0,5.42,6.67,1.92,27.05,11.64,11.64,17.5,3.75,0,6.89,14.94,0,0,0,1.05,1.05,0.2,0,0.36,0.11,0,0.05,1
0,0.46,0,7.42,10.17,4.58,34.21,15.43,15.43,13.59,0,0,10.43,23.17,0,0,0.27,1.81,1.81,0.3,0,0,0,0.09,0,1
0,0,0,15.5,8.45,2.7,70.43,31.01,31.01,14.61,0,0,13.76,22.33,0,0,0,3.07,3.07,0.74,0.43,0,0,0.24,0,1
0,0,0,5.65,9.44,3.23,32.79,14.23,14.23,13.95,0,0,15.31,30.42,0,1.15,0.34,1.42,1.42,0.15,0.56,0,0,0.12,0,1
0,0,0,6.29,14.61,3.98,35.12,0,0,12.85,0,0,10.3,27.38,0,0,0,1.98,1.98,0,0,0,0,0,0,1
0,0,0,6.98,13.01,1.67,24.84,0,0,10.8,0,0,17.06,26.18,0,0,0,2.12,2.12,0,0,0,0,0.07,0,1
0,0,0,7.31,9.01,0,33.42,0,0,12.23,0,0,17.05,27.36,0,0.55,0.4,2.76,2.76,0,0,0,0,0,0,1
0,0.34,0,8.05,7,2.26,31.77,16.65,16.65,9.88,0,0,15.13,30.89,0,1.28,0,2.53,2.53,0,0.4,0,0,0,0,1
