masa,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
5006.942951740247,47908.14188234904,4823.060919407544,99.86954072954842,,1300.0936963955257,29829.489300628553,0.08832758971414799,3.851217005068065,,0
5035.902607777242,48045.23692325697,4499.564750457506,93.17101165005728,,643.5402735431128,51313.4056768041,0.08240321153137613,7.825310730051569,,0
5048.068369070186,48102.71073779815,4146.84637647017,85.86738795431607,,1815.9479029498061,23984.937223375247,0.07594366968797311,2.779853078863198,,0
5059.73912646686,48157.78027265078,4011.9132080900963,83.07337108816458,,2981.027213871968,11812.491796884507,0.07347255813979693,1.6973139671190438,,0
5088.898615308492,48295.09199020633,3927.395355582794,81.32328763402715,,1343.3200933198545,23028.251160886604,0.07192473232450475,3.7882993343246203,,0
5096.354391977281,48330.13726816287,3888.661326076679,80.52123478791555,,1736.271848607735,20963.333376310413,0.0712153729522387,2.9352283722528227,,0
5103.3336729435,48362.91933875033,3914.8867383813194,81.06427579985225,,2049.8474160283954,19410.579118809263,0.07169565456112478,2.4896163651201273,,0
5106.185699693561,48376.308943885706,3867.3811000481655,80.08059212641881,,1654.21009294467,22298.362801905605,0.07082565548752508,3.0867818552624158,,0
5132.023229608391,48497.43832092912,3389.892972013502,70.19340205201034,,1627.9513471441983,33081.00835435689,0.06208113076118115,3.1524426320302155,,0
5145.9956893628305,48562.81444481159,3528.5860179931333,73.06527347055949,,798.0012557549637,36063.39855712011,0.06462109918915597,6.4486060043782345,,0
5159.607432033779,48626.4165755069,3214.8317648068733,66.56846704591592,,1622.4260864734006,18391.72539952573,0.0588751305170644,3.1801802714162477,,0
5176.829498634244,48706.76686714881,2760.815041969483,57.167291661451856,,3631.780668485651,5887.725116079987,0.050560451625745496,1.4254245977890605,,0
5197.890875708533,48804.84620461327,2938.0090942307434,60.83639079062343,,1449.6941624759609,20543.89414573969,0.0538055119327678,3.585508592261249,,0
5206.470308400235,48844.7416118794,3109.2730559215815,64.3826974791336,,1277.5195686004877,21534.655681308883,0.05694197095616038,4.075452491192664,,0
5228.485490829859,48946.96312866795,2379.8002937520723,49.277744224358415,,2242.3507611286177,10086.328102829333,0.043582701413185286,2.331698314762434,,0
5240.622684858679,49003.22587707875,2285.4800996275007,47.3246868970419,,1201.3333050371632,22808.791658167,0.04185535947253708,4.362338630657177,,0
5261.847571470022,49101.457164477215,2129.685677063342,44.09870288197394,,1281.518138699315,15476.092107781871,0.039002203340789535,4.105948571910631,,0
5300.655959152321,49280.550554283334,1676.4223513236793,34.71312784413503,,1466.9486111587596,12546.525939495525,0.030701321859632324,3.6133889891107174,,0
5310.190879149318,49324.45091478333,1762.7174914166571,36.500013009445446,,1045.929659804577,15316.487740235676,0.03228169620194807,5.077005733006445,,0
5325.762585280349,49396.06008245041,1884.3164407277472,39.017922574308656,,1565.7279187591662,10814.41872509245,0.03450861024759126,3.4014610849508244,,0
5339.705757169267,49460.09042249482,1745.1142053277217,36.13550753742068,,1700.331982122601,9448.961932732842,0.03195931673022552,3.1403901198773383,,0
5346.267729718838,49490.19531191985,1709.2065743257517,35.39197999821362,,1591.0167831419221,10476.430918624324,0.031301718878623305,3.3602836791960726,,0
5360.382014616939,49554.88534341483,1869.32848318174,38.70757185272217,,744.1083836840791,21967.420215146358,0.03423412684651089,7.203765112923065,,0
5371.122358846658,49604.05393706915,1557.264019284561,32.24575534071918,,1086.1934856627176,11997.66362837706,0.02851910429297834,4.944903858974612,,0
5387.315348606571,49678.09056348666,1562.6845375038247,32.35799623382,,2961.476380273244,4725.529539763635,0.028618373474377772,1.8191316278907834,,0
5394.124228819608,49709.18813585116,1592.717332831191,32.97987547737247,,1137.8168992620713,16127.045157275727,0.029168381958195648,4.74076649091603,,0
5425.720937578731,49853.23797698216,945.5772477761129,19.57975796650542,,839.1903411369332,8675.907043680456,0.017316919810928134,6.465423482148253,,0
5433.70510297829,49889.570767059115,1000.8954388259408,20.725213606906983,,1488.6021148632713,7219.376968869974,0.01832999481960504,3.650206491529389,,0
5464.800421813026,50030.816852911266,709.1070362039245,14.683246846170125,,1221.2804579637068,4432.346077563259,0.012986299863060725,4.474648215467823,,0
5489.2709859041515,50141.68564994649,844.8755908837047,17.494561782463695,,868.5027149609588,7638.224285651417,0.0154727103385294,6.320384371108048,,0
5501.3137611978445,50196.156175574535,839.6328236905174,17.386001521566165,,886.6135280299734,8328.58216896508,0.015376696417630484,6.2048610666042805,,0
5511.090741384195,50240.334020820745,771.7934644972811,15.98127415875118,,1249.0217363863364,4766.027593503977,0.014134313792692182,4.4123257272758565,,0
5528.382675801978,50318.37178523144,440.21648961920073,9.115418481018084,,1294.503356883031,3010.250051293781,0.008061946993873675,4.2706592040931355,,0
5606.415788677435,50669.007714995045,624.0775824557422,12.922569832918038,,1088.627272912323,5010.344513662773,0.011429104789271333,5.149986527233523,,0
5623.129567392911,50743.78861829325,556.3352617981836,11.610164835490414,,1111.053192979184,4344.31614352205,0.010188499288882984,5.061080426145054,,0
5635.4871547211715,50799.006852259954,599.436885103798,12.509652942064772,,1000.0022461065777,5302.111559459451,0.010977845009985696,5.635474496844836,,0
5642.400578515471,50829.87188891612,261.913538935205,5.465875648176099,,1612.890347827346,1022.0039449388505,0.00479657876900528,3.49831629045093,,0
5657.912295552474,50899.05463911791,302.6483677458782,6.315971102325045,,1020.7033192051567,1917.0820309894164,0.005542579971641379,5.543150677670383,,0
